"paper_id","title","status","question_count","review_count","prompt_tokens","completion_tokens","started_at","finished_at"
"2023-全国甲卷-理科","2023 年高考数学 全国甲卷-理科","failed",,,,,"2026-07-15T02:30:05","2026-07-15T02:31:49"
"2023-北京卷","2023 年高考数学 北京卷","complete","21","2","39171","15723","2026-07-15T02:28:28","2026-07-15T02:30:05"
"2023-天津卷","2023 年高考数学 天津卷","complete","20","9","23962","12107","2026-07-15T02:37:12","2026-07-15T02:38:33"
"2023-新高考II卷","2023 年高考数学 新高考II卷","failed",,,,,"2026-07-15T02:38:33","2026-07-15T02:40:10"
"2023-新高考I卷","2023 年高考数学 新高考I卷","failed",,,,,"2026-07-15T02:40:10","2026-07-15T02:41:54"
"2024-上海卷","2024 年高考数学 上海卷","complete","21","14","22142","11552","2026-07-15T02:45:52","2026-07-15T02:47:06"
"2024-全国甲卷-文科","2024 年高考数学 全国甲卷-文科","complete","20","2","17935","11185","2026-07-15T02:44:44","2026-07-15T02:45:52"
"2024-全国甲卷-理科","2024 年高考数学 全国甲卷-理科","complete","23","3","24322","12874","2026-07-15T02:43:27","2026-07-15T02:44:44"
"2024-北京卷","2024 年高考数学 北京卷","complete","21","5","26736","15627","2026-07-15T02:41:54","2026-07-15T02:43:27"
"2024-天津卷","2024 年高考数学 天津卷","failed",,,,,"2026-07-15T02:47:06","2026-07-15T02:48:30"
"2024-新高考II卷","2024 年高考数学 新高考II卷","complete","19","3","33787","16753","2026-07-15T02:48:31","2026-07-15T02:50:21"
"2024-新高考I卷","2024 年高考数学 新高考I卷","complete","19","6","30002","14238","2026-07-15T02:50:22","2026-07-15T02:51:57"
"2025-上海卷","2025 年高考数学 上海卷","failed",,,,,"2026-07-15T02:54:40","2026-07-15T02:55:55"
"2025-全国II卷","2025 年高考数学 全国II卷","complete","19","2","24481","12243","2026-07-15T02:51:57","2026-07-15T02:53:21"
"2025-全国I卷","2025 年高考数学 全国I卷","complete","19","9","34331","11195","2026-07-15T02:53:21","2026-07-15T02:54:40"
"2025-天津卷","2025 年高考数学 天津卷","failed",,,,,"2026-07-15T02:55:55","2026-07-15T02:57:21"
